,Car_Kilometers,Car_Engine_Sizes,Car_Seat_Numbers,Car_Models_LX,Car_Models_Land Cruiser,Car_Models_Range Rover,Car_Models_S Class,Car_Brands_Brand:Lexus,Car_Brands_Brand:Mercedes,Car_Brands_Brand:Range Rover,Car_Gear_Types_Automatic,Car_Gear_Types_CVT,Car_Drivetrains_AWD,Car_Drivetrains_Double (4x4),Car_Drivetrains_FWD,Car_Extensions_500,Car_Exterior_Colors_Black,Car_Interior_Colors_Camel,Car_Interior_Colors_Grey,Car_Origins_Saudi
0,1.8653154252951227,-0.1436645710832682,-0.3311759539234933,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
1,-0.5067425809640683,3.4037734338505334,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
2,0.09947088856904948,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True
4,2.0700298533887502,-0.6757802718233386,-0.3311759539234933,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True
5,-0.44159289243111155,-0.7644662219466837,1.5136995171476955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
6,-0.5497305240703755,-0.7644662219466837,1.5136995171476955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
7,-0.5278817976469271,-0.7644662219466837,1.5136995171476955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
8,-0.9060296214476028,-0.7644662219466837,1.5136995171476955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
9,-0.11905811153252743,-0.7644662219466837,1.5136995171476955,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
10,0.13548894187074179,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
11,-0.3912803046498948,-0.7644662219466837,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
12,0.004646998532612742,-0.32103647132995844,-0.3311759539234933,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
